	Scores
Sentence4969	0.9954393302937126
Sentence4613	0.9954300530461916
Sentence216	0.9954282060091098
Sentence238	0.9954259985646683
Sentence1432	0.995420212069047
Sentence6232	0.9954136286715842
Sentence1864	0.9954133067053068
Sentence5286	0.9953865306791257
Sentence3980	0.9953777059574653
Sentence924	0.995354854975776
Sentence4364	0.9953410175817285
Sentence5775	0.9953410103608276
Sentence6455	0.995325066134612
Sentence2329	0.9953214764814099
Sentence5765	0.9952744941490259
Sentence4163	0.9952721837155634
Sentence3882	0.9952683733880539
Sentence1448	0.9952678061734279
Sentence3945	0.9952634274770433
Sentence1401	0.9952251644471722
Sentence2662	0.9952159652929555
Sentence5873	0.9952139527339476
Sentence468	0.9952112606297275
Sentence63	0.9952111240929039
Sentence5410	0.9951911419256474
Sentence3707	0.995189026905879
Sentence4269	0.99518699256348
Sentence3546	0.9951772314840175
Sentence5580	0.9951756902712952
Sentence939	0.9951698588012874
Sentence2445	0.9951486624772283
Sentence1832	0.9951444306864993
Sentence5615	0.9951238131175255
Sentence1276	0.9951041721670772
Sentence2218	0.9950918386598359
Sentence182	0.9950800111725133
Sentence5207	0.995068678829724
Sentence3534	0.9950630580240298
Sentence4933	0.9950525399338785
Sentence3991	0.995046701886092
Sentence2257	0.9950440175987959
Sentence2134	0.9950327251393011
Sentence1714	0.9950236305709517
Sentence6275	0.9950092232394058
Sentence5063	0.9949955242926528
Sentence4909	0.9949893579929716
Sentence2135	0.9949822152735001
Sentence6146	0.9949754484845952
Sentence2482	0.9949662229647952
Sentence5322	0.9949529895501316
Sentence654	0.9949459757589031
Sentence2252	0.994945538062658
Sentence302	0.9949197220072371
Sentence183	0.9949135504665827
Sentence5804	0.994893373747684
Sentence861	0.9948784765210033
Sentence3747	0.9948465908692287
Sentence735	0.9948352613858564
Sentence6238	0.994834962858371
Sentence110	0.9948238269681007
Sentence2304	0.9948206487946841
Sentence6072	0.994807738153279
Sentence5132	0.9948049920497135
Sentence4723	0.9947931310708894
Sentence4249	0.9947902473228215
Sentence3285	0.9947871384730338
Sentence2966	0.9947793634125703
Sentence3854	0.9947668783055537
Sentence4376	0.9947615502277485
Sentence3779	0.9947555790288838
Sentence2258	0.9947501055823036
Sentence610	0.9947477669269806
Sentence1452	0.9947431598283986
Sentence4832	0.9947418752192858
Sentence2759	0.9947410280897915
Sentence2174	0.9947354207258131
Sentence4866	0.9947354207258131
Sentence6113	0.9947305600874937
Sentence5791	0.9947286042132293
Sentence5316	0.9947162240125188
Sentence1879	0.9947080422911625
Sentence4362	0.994698384701939
Sentence3499	0.9946952571167864
Sentence2410	0.9946715418788423
Sentence4653	0.9946466121171456
Sentence4359	0.9946387053368418
Sentence3329	0.9946019842632554
Sentence5018	0.9945876821278178
Sentence1969	0.9945874611134797
Sentence6071	0.9945873928264817
Sentence3143	0.99457356638516
Sentence2857	0.9945657751736376
Sentence5634	0.9945653916796919
Sentence1206	0.9945652122621343
Sentence5561	0.9945405356713597
Sentence4308	0.9945272682629305
Sentence5001	0.9945204331682346
Sentence2842	0.9945134513964838
Sentence2325	0.9945067902718264
Sentence2160	0.9944668469016191
Sentence2669	0.9944660576062148
Sentence5162	0.9944651078355632
Sentence4484	0.9944568690699311
Sentence5269	0.9944378566046703
Sentence2489	0.9944213252578793
Sentence2912	0.9944166516687588
Sentence6273	0.9944074320825216
Sentence4517	0.9944066214547599
Sentence4228	0.9944059519399724
Sentence5984	0.9944053188733077
Sentence4976	0.9944003109689674
Sentence1973	0.9943983931754025
Sentence5016	0.9943807704835411
Sentence3871	0.994377675637077
Sentence646	0.9943759081901884
Sentence4029	0.9943751038588315
Sentence1109	0.9943714913242688
Sentence672	0.9943649795252885
Sentence1248	0.9943525547170525
Sentence5985	0.9943524894860541
Sentence5606	0.9943507447735852
Sentence829	0.9943413951313355
Sentence3394	0.9943308824831811
Sentence2828	0.9943243140590134
Sentence3279	0.9943213840151781
Sentence3913	0.994300766571941
Sentence5324	0.9942995571421092
Sentence6350	0.9942973016167624
Sentence5048	0.9942908818561257
Sentence4125	0.9942609202430113
Sentence2943	0.9942550289246339
Sentence3113	0.9942506229999065
Sentence4658	0.9942340291202886
Sentence3628	0.9942255703699662
Sentence660	0.9942244926868641
Sentence429	0.994201111126223
Sentence4385	0.9941822748207155
Sentence4104	0.9941720092032197
Sentence5244	0.9941699259945261
Sentence6462	0.9941629504239083
Sentence275	0.9941561594370902
Sentence3478	0.9941558153779797
Sentence1444	0.9941271613784302
Sentence2339	0.9941252664380406
Sentence3946	0.9941199159313132
Sentence896	0.9941120428006791
Sentence3488	0.9941069273687685
Sentence5699	0.9941057446320076
Sentence4350	0.9941048543802726
Sentence3088	0.9940989871743005
Sentence2468	0.9940980140536858
Sentence5485	0.9940949665064902
Sentence1117	0.9940749305546529
Sentence1178	0.9940741143144749
Sentence6217	0.9940737464575111
Sentence3264	0.9940727488287374
Sentence2559	0.9940643632059307
Sentence1600	0.9940472496370525
Sentence4431	0.9940370000288512
Sentence2648	0.9940346238509477
Sentence3939	0.99401988629821
Sentence1130	0.9939753175202671
Sentence480	0.9939751578100695
Sentence2183	0.9939714645356894
Sentence2348	0.9939701778972825
Sentence898	0.9939664717184998
Sentence2331	0.9939663528148632
