	0	1	2	3	4	5	6	7	8	9
Sentence60	('model1-model2', 0.9679373199023469)	('model1-model3', 0.942634714962252)	('model1-model4', 0.9411585228521355)	('model1-model5', 0.9493499698897625)	('model2-model3', 0.9543144108182181)	('model2-model4', 0.9343547230908755)	('model2-model5', 0.9697694697760446)	('model3-model4', 0.8840423447540727)	('model3-model5', 0.9179999208150014)	('model4-model5', 0.960052122597862)
Sentence61	('model1-model2', 0.9721171625367804)	('model1-model3', 0.9643673157331845)	('model1-model4', 0.9721171625367804)	('model1-model5', 0.9714041178501032)	('model2-model3', 0.9768336007197672)	('model2-model4', 1.0)	('model2-model5', 0.9944315785352941)	('model3-model4', 0.9768336007197672)	('model3-model5', 0.9678281870573576)	('model4-model5', 0.9944315785352941)
Sentence62	('model1-model2', 0.3912352455376075)	('model1-model3', 0.3424480230139901)	('model1-model4', 0.3711583430502201)	('model1-model5', 0.40200140001632306)	('model2-model3', 0.9945736451816974)	('model2-model4', 0.9923895746544671)	('model2-model5', 0.955118697459568)	('model3-model4', 0.9902579294017425)	('model3-model5', 0.954469166392324)	('model4-model5', 0.9404473338574134)
Sentence63	('model1-model2', 0.995712915216002)	('model1-model3', 0.995712915216002)	('model1-model4', 0.9999999999999999)	('model1-model5', 0.995712915216002)	('model2-model3', 0.9999999999999999)	('model2-model4', 0.995712915216002)	('model2-model5', 0.9999999999999999)	('model3-model4', 0.995712915216002)	('model3-model5', 0.9999999999999999)	('model4-model5', 0.995712915216002)
Sentence64	('model1-model2', 1.0)	('model1-model3', 0.9368289732576713)	('model1-model4', 0.9368289732576713)	('model1-model5', 0.9378262484539216)	('model2-model3', 0.9368289732576713)	('model2-model4', 0.9368289732576713)	('model2-model5', 0.9378262484539216)	('model3-model4', 0.9999999999999999)	('model3-model5', 0.9682000987764182)	('model4-model5', 0.9682000987764182)
Sentence65	('model1-model2', 0.985531431008405)	('model1-model3', 0.9914986879817186)	('model1-model4', 0.9914712759579007)	('model1-model5', 0.9851869907874263)	('model2-model3', 0.9922348288646442)	('model2-model4', 0.9908289719757439)	('model2-model5', 0.9939940257185266)	('model3-model4', 0.9877574605233751)	('model3-model5', 0.9955663571398302)	('model4-model5', 0.9895652115142268)
Sentence66	('model1-model2', 0.9523373946256849)	('model1-model3', 0.97798893984295)	('model1-model4', 0.9936457931297937)	('model1-model5', 0.9687453816839414)	('model2-model3', 0.9545608627415888)	('model2-model4', 0.9651799454215908)	('model2-model5', 0.9466230707600771)	('model3-model4', 0.9716333412824125)	('model3-model5', 0.9558152868224804)	('model4-model5', 0.9726339349870894)
Sentence67	('model1-model2', 0.8609192801661315)	('model1-model3', 0.9652472858307215)	('model1-model4', 0.9506230152142722)	('model1-model5', 0.9180502880502354)	('model2-model3', 0.8962202763495936)	('model2-model4', 0.9245322013279467)	('model2-model5', 0.9561436458118052)	('model3-model4', 0.9562789413237973)	('model3-model5', 0.9559084447213232)	('model4-model5', 0.953482691555063)
Sentence68	('model1-model2', 0.6113737696404837)	('model1-model3', 0.4949321909813582)	('model1-model4', 0.45635049196433236)	('model1-model5', 0.45832899168196994)	('model2-model3', 0.8601732970059479)	('model2-model4', 0.8402542947635553)	('model2-model5', 0.8590001215886046)	('model3-model4', 0.9721658723660845)	('model3-model5', 0.8488518902197455)	('model4-model5', 0.8482758115037681)
Sentence69	('model1-model2', 0.9233384654717713)	('model1-model3', 0.9625975066098728)	('model1-model4', 0.9558193364997623)	('model1-model5', 0.8738473818869765)	('model2-model3', 0.9537935951882996)	('model2-model4', 0.9653157237737741)	('model2-model5', 0.8834118795128272)	('model3-model4', 0.9870032154062225)	('model3-model5', 0.9074074074074074)	('model4-model5', 0.903525331516144)
